uuid,age,sex,occupation,district,question_id,type,turn,question,answer
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q1,single_turn,1,"SNS(인스타그램, 유튜브, 네이버 블로그 등)에서 마음에 드는 장소 콘텐츠를 저장하거나 공유한 경험이 얼마나 있나요? (보기: 매우 자주 한다 / 자주 한다 / 가끔 한다 / 거의 하지 않는다 / 전혀 하지 않는다) 본인에게 가장 가까운 것 하나를 골라 한 문장으로 이유를 말해주세요.","자주 하는 편이에요. 인스타그램에서 예쁜 카페나 여행지 사진을 보면 '나중에 꼭 가봐야지' 하면서 스크린샷을 찍어두곤 하는데, 나중에 다시 찾아보려면 뭐가 뭔지 헷갈릴 때가 많거든요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q2,single_turn,1,주로 어떤 방식으로 장소 콘텐츠를 저장하거나 공유하시나요? (보기: 인스타 저장 / DM 공유 / 단톡방 공유 / 지도 앱 저장 / 캡처 / 메모 / 저장하지 않음 / 기타) 가장 자주 쓰는 한두 개를 골라 그 이유를 짧게 말해주세요.,"저는 인스타 스토리에 떴던 예쁜 카페나 맛집은 일단 '저장'해두긴 하는데, 나중에 다시 찾아보려면 너무 뒤죽박죽 섞여 있어서 결국 거의 못 써요. 그래서 이런 장소들을 친구들끼리 공유할 때는 주로 DM으로 링크를 보내거나, 단톡방에 툭 던져놓는 편이에요. 그래야 누가 봤는지도 알 수 있고, 나중에라도 같이 얘기하기 좋더라고요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q3,single_turn,1,저장하거나 공유했던 장소를 실제로 방문한 경험이 얼마나 있나요? (보기: 대부분 방문한다 / 가끔 방문한다 / 거의 방문하지 않는다 / 전혀 방문하지 않는다) 본인에게 가장 가까운 것 하나를 골라 솔직하게 이유를 말해주세요.,"음... 솔직히 말하면 '가끔 방문한다' 쪽이에요. 인스타에서 예쁜 카페나 맛집 사진 보면 저장해두는 건 습관처럼 하고 있어요. 친구들끼리 ""여기 같이 가자"" 하고 약속 잡을 때도 많고요. 그런데 막상 바쁘다 보면 저장만 해두고 잊어버릴 때가 더 많은 것 같아요. 그래서 실제로 가보게 되는 건 정말 마음에 드는 곳, 아니면 누구랑 같이 가기로 딱 정해진 곳 정도인 것 같아요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q4,single_turn,1,저장한 장소를 방문하지 않게 되는 가장 큰 이유는 무엇인가요? (보기: 잊어버려서 / 다시 찾기 귀찮아서 / 누구와 가려고 했는지 잊어서 / 위치·동선이 애매해서 / 다른 장소를 가게 돼서 / 저장만 하고 행동하지 않아서 / 기타) 가장 와닿는 한두 개와 이유를 말해주세요.,"음, 저는 꼼꼼한 편이라 저장한 걸 잊어버리거나 다시 찾기 귀찮아서 방문하지 않는 경우는 잘 없을 것 같아요. 제 생각엔 '저장만 하고 행동하지 않아서'가 가장 현실적인 이유 아닐까요? 뭔가 저장해두고 나중에 봐야지, 하고 막상 실천에 옮기기까지는 또 다른 계기가 필요한 것 같아요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q5,single_turn,1,저장해둔 장소를 다시 찾을 때 불편함을 느낀 적이 있나요? (보기: 매우 자주 있다 / 자주 있다 / 가끔 있다 / 거의 없다 / 전혀 없다) 본인에게 가까운 것 하나를 골라 어떤 상황이었는지 짧게 말해주세요.,"음... '자주 있다' 정도인 것 같아요. 인스타그램 피드 보다가 '여기 가보고 싶다!' 해서 저장만 해놓고 나중에 다시 보려면 어디에 저장했는지 한참 찾아 헤매거나, 저장 목록이 너무 많아서 결국 포기할 때가 많아요. 특히 친구들이랑 어디 갈지 정할 때, 이런저런 후보들을 모아뒀다가 막상 약속 잡으려고 하면 어디에 있었는지도 모르겠고... 좀 답답했죠."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q6,single_turn,1,저장한 장소를 다시 못 찾아서 포기한 경험이 있나요? (보기: 자주 있다 / 가끔 있다 / 거의 없다 / 없다) 본인에게 가까운 것 하나를 골라 가장 최근의 경험을 떠올려 말해주세요.,"음, 솔직히 말하면 '자주 있다'에 가까운 것 같아요. 인스타에서 예쁜 카페나 꼭 가보고 싶은 맛집을 보면 '나중에 가야지' 하면서 캡처하거나 스크랩해두는데, 막상 시간이 지나서 다시 찾아보면 어디에 저장했는지 기억이 안 나서 그냥 포기할 때가 많았어요. 얼마 전에도 친구랑 약속 잡으려고 예전에 저장해둔 곳을 찾고 있었는데, 아무리 뒤져도 안 나오는 거예요. 결국 다른 곳으로 정했죠."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q7,single_turn,1,저장한 장소를 다시 찾기 어려운 가장 큰 이유는 무엇인가요? (보기: 어디에 저장했는지 기억이 안 난다 / 대화방·플랫폼이 헷갈린다 / 스크롤을 많이 해야 한다 / 링크·게시물이 삭제됐다 / 장소 정보가 기억나지 않는다 / 왜 저장했는지(맥락)를 까먹는다 / 저장은 했지만 다시 보지 않는다 / 기타) 가장 와닿는 한두 개와 이유를 짧게 말해주세요.,"음, 제가 인스타에서 이것저것 저장하는 걸 좋아하는데, 나중에 다시 보려고 하면 어디 저장했는지 기억 안 날 때가 제일 많아요. 특히 친구들한테 추천받은 곳들이랑 제가 보고 저장한 곳들이 뒤섞여 있으면 더 헷갈리고요. 링크나 게시물이 삭제되는 것보다, 그냥 제가 뭐 때문에 이걸 저장했었는지 기억이 안 나서 못 찾게 되는 경우가 더 흔한 것 같아요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q8,single_turn,1,이전에 봤던 장소를 다시 떠올릴 때 주로 어떤 기준으로 기억하시나요? (보기: 누구와 공유했는지 / 어느 플랫폼에서 봤는지 / 위치·지역 / 시간·시기 / 콘텐츠 분위기·사진 / 잘 기억나지 않는다 / 기타) 본인에게 가장 가까운 한두 개를 골라 이유를 말해주세요.,"음, 저는 보통 **콘텐츠 분위기나 사진**을 보고 장소를 기억하는 편이에요. 인스타 피드에서 뭔가 제 취향이다 싶으면 저장해두는데, 나중에 다시 볼 때도 그 사진 느낌이 딱 떠오르거든요. 아니면 **누구와 공유했는지**도 좀 기억에 남는 것 같아요. 친구랑 같이 보다가 '여기 가자!' 했던 곳은 같이 나눈 대화 때문에라도 더 기억에 남더라고요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q9,single_turn,1,지도 앱에 장소를 저장할 때 가장 불편한 점은 무엇인가요? (보기: 인스타 감성과 달라 정보가 부족하다 / 저장 과정이 번거롭다 / 장소가 많아지면 관리가 어렵다 / 특별히 불편함은 없다 / 기타) 가장 와닿는 한두 개와 그 이유를 말해주세요.,"음, 지도 앱에 장소 저장하는 거요? 저는 인스타에서 예쁜 곳 발견하면 저장해두는데, 나중에 다시 보면 내가 왜 이걸 저장했는지 기억도 안 나고... 이게 인스타 사진이랑 느낌이 달라서 그런가 싶기도 하고요. 또, 친구랑 같이 어디 갈 때 후보 장소들 모으는 것도 그렇고, 나중에 다시 볼 때 너무 뒤죽박죽 섞여 있어서 뭐가 뭔지 한참 찾아봐야 할 때가 많아요. 그래서 장소가 많아지면 관리가 어려운 게 제일 불편해요."
1077560e174a4ab781cd1db1faa4ccf0,26,여자,광고 디자이너,경기-파주시,Q10,single_turn,1,친구들과 장소를 정할 때(단톡방·DM 공유 등) 가장 불편했던 순간은 언제인가요? (보기: 링크를 계속 눌러봐야 할 때 / 위치·동선 파악이 어려울 때 / 아무도 결정을 내리지 않을 때 / 누가 어떤 장소를 보냈는지 헷갈릴 때 / 다시 찾기 어려울 때 / 나 혼자만 열심히 찾는 느낌이 들 때 / 지도 앱과 단톡방을 계속 스위칭해야 할 때 / 특별히 불편하지 않다) 본인에게 가장 가까운 한두 개를 골라 구체적인 상황을 짧게 말해주세요.,"음… 아무래도 지도 앱이랑 단톡방을 계속 왔다 갔다 해야 할 때가 제일 번거로운 것 같아요. 링크 하나 보내주면 그걸 또 열어서 지도 앱으로 찍고, 다시 돌아와서 다른 사람 링크도 확인하고… 그러다 보면 내가 뭘 봤는지, 어디 가기로 했는지 헷갈릴 때가 많거든요. 특히 여러 명이서 약속 잡을 때는 진짜 정신없어요."
